like1,parmu,parsigma,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,chain
-229.48401,52.165493,14.475309,35.409603,56.3598,63.468597,60.03968,38.249184,67.66868,62.319283,62.3702,62.950504,68.15126,84.63322,43.313942,52.84889,77.558586,32.79782,56.878284,42.1903,51.878567,59.037693,24.212202,37.799065,31.820864,48.820312,42.194218,74.09712,43.4344,76.9716,46.284912,56.09423,52.74219,52.332226,35.849243,57.010567,57.722443,55.608234,61.160618,40.30666,47.85794,42.58917,27.4971,57.485695,42.966595,51.040466,84.73158,55.49931,53.72037,67.71119,70.206856,78.40768,44.61685,78.16221,50.26405,35.399803,38.719505,68.20192,63.203518,70.73042,38.8218,47.24693,34.828167,23.568277,51.90402,75.075485,68.2633,40.915497,69.06498,43.81645,56.683407,64.13642,46.265564,39.360092,61.568836,49.600426,44.177498,61.347126,49.053726,57.707596,38.188007,62.64601,38.46222,46.58306,25.072939,68.94208,53.520844,58.864235,27.520674,54.388077,46.45673,69.49288,29.431973,57.273243,67.4453,34.906292,53.745094,36.469276,52.79062,56.987873,71.22875,54.599686,42.182842,2.0
-431.67587,45.180973,15.48437,27.257046,49.66766,57.272007,53.604065,30.294569,61.76487,56.042572,56.097046,56.7178,62.281097,79.91199,35.712387,45.91201,72.34419,24.463198,50.22229,34.51042,44.874046,52.53223,15.279084,29.813072,23.418139,41.602604,34.51461,68.64143,35.841244,71.7163,38.89046,49.38358,45.797874,45.35933,27.727331,50.363792,51.125294,48.86371,54.803143,32.495472,40.573147,34.93709,18.792969,50.872044,35.34083,43.97752,80.01721,48.74719,46.844242,61.81035,64.47998,73.25248,37.10612,72.9899,43.14698,27.246561,30.797676,62.335285,56.98845,65.04005,30.907103,39.91954,26.635078,14.590272,44.90127,69.688,62.400944,33.146748,63.25851,36.249928,50.01383,57.98638,38.869766,31.48292,55.23982,42.437096,36.636143,55.00265,41.852287,51.10941,30.229128,56.39208,30.522457,39.209396,16.199821,63.12704,46.630806,52.34668,18.818188,47.55849,39.074257,63.716236,20.86272,50.644783,61.525925,26.718649,46.87069,28.390589,45.849674,50.339516,65.57311,47.78485,34.50244,3.0
-266.6383,53.627846,12.533381,39.119835,57.259464,63.414585,60.445675,41.57847,67.05121,62.419456,62.463547,62.966,67.46905,81.739876,45.963768,54.219563,75.614334,36.858433,57.708393,44.99087,53.37941,59.57811,29.424614,41.188736,36.01254,50.731438,44.994263,72.61724,46.068066,75.10611,48.53617,57.029526,54.12718,53.77221,39.500492,57.82293,58.439304,56.608727,61.416233,43.35993,49.89817,45.336227,32.26883,58.234318,45.66302,52.653744,81.82504,56.514416,54.97413,67.08802,69.24887,76.34952,47.09189,76.136986,51.981487,39.111347,41.985695,67.51291,63.18507,69.7022,42.07427,49.36913,38.6164,28.867075,53.401447,73.46436,67.566055,43.887085,68.26019,46.398865,57.53966,63.992817,48.51942,42.540348,61.769688,51.40689,46.711475,61.57772,50.933537,58.42645,41.5255,62.702354,41.762928,48.794323,30.16988,68.15378,54.80137,59.42792,32.28924,55.552258,48.684937,68.630684,33.94413,58.05037,66.857796,38.684044,54.995537,40.03735,54.169106,57.80328,70.13368,55.73548,44.984413,0.0
-374.5207,48.725758,11.67774,35.208195,52.10945,57.84437,55.07814,37.49898,61.23272,56.917175,56.958256,57.426407,61.62204,74.91861,41.5849,49.27708,69.21126,33.101177,52.527733,40.67842,48.494286,54.269806,26.17486,37.135857,32.313034,46.027084,40.681583,66.41877,41.68208,68.737724,43.981686,51.89521,49.191,48.860268,35.562866,52.63445,53.208744,51.50314,55.982445,39.15882,45.250706,41.000202,28.824902,53.017754,41.304688,47.81816,74.99796,51.415264,49.980133,61.267017,63.280357,69.89625,42.636005,69.69822,47.191795,35.200287,37.878407,61.662907,57.63052,63.70274,37.960934,44.757782,34.739132,25.655382,48.51482,67.20805,61.712425,39.64999,62.35917,41.99029,52.37052,58.383125,43.96608,38.395195,56.311768,46.65643,42.281563,56.132904,46.21539,53.196766,37.44963,57.18076,37.67085,44.222214,26.869246,62.26002,49.819168,54.129868,28.84392,50.518795,44.120296,62.70437,30.385832,52.84636,61.052517,34.802155,50.00008,36.063072,49.23007,52.616142,64.10476,50.689507,40.672405,1.0
-406.24115,46.728718,14.475309,29.972828,50.923023,58.031822,54.602905,32.81241,62.2319,56.882507,56.933426,57.51373,62.714485,79.19644,37.877167,47.412113,72.12181,27.361046,51.44151,36.753525,46.44179,53.600918,18.775427,32.36229,26.384089,43.383537,36.757442,68.66035,37.997623,71.53483,40.848137,50.657455,47.305416,46.89545,30.412468,51.57379,52.285667,50.17146,55.723843,34.869884,42.421165,37.152393,22.060326,52.04892,37.52982,45.60369,79.29481,50.062534,48.283596,62.274414,64.77008,72.9709,39.180077,72.72543,44.827274,29.963026,33.28273,62.765144,57.766743,65.29365,33.385025,41.810154,29.391392,18.131502,46.467243,69.63871,62.826523,35.47872,63.628204,38.379673,51.24663,58.699642,40.82879,33.923317,56.13206,44.163647,38.740723,55.91035,43.61695,52.27082,32.751232,57.209236,33.025444,41.146286,19.636164,63.505306,48.08407,53.42746,22.083899,48.9513,41.019955,64.05611,23.995197,51.836468,62.008526,29.469517,48.30832,31.032503,47.353844,51.551098,65.79198,49.16291,36.746067,2.0
-360.8283,48.832153,13.205467,33.54617,52.658512,59.143696,56.01558,36.136646,62.975323,58.095203,58.14166,58.67105,63.415573,78.45165,40.7571,49.4556,71.99764,31.163504,53.131516,39.732033,48.570396,55.10149,23.331057,35.726013,30.272251,45.78043,39.735607,68.839836,40.866993,71.46216,43.46744,52.416245,49.35826,48.984257,33.947243,53.252193,53.90162,51.97288,57.038185,38.013634,44.90248,40.09591,26.327787,53.685642,40.440228,47.805817,78.54139,51.873512,50.25063,63.01411,65.29084,72.77225,41.945713,72.54831,47.09751,33.537228,36.56571,63.46179,58.90187,65.76848,36.65903,44.34507,33.01574,22.74362,48.593616,69.732376,63.517784,38.569057,64.24914,41.215527,52.953735,59.752934,43.449795,37.150105,57.41059,46.492104,41.544903,57.20833,45.993366,53.888077,36.080837,58.393272,36.330994,43.739437,24.116285,64.13702,50.068607,54.94325,26.349295,50.85976,43.624187,64.639496,28.092924,53.49183,62.771545,33.08701,50.273186,34.512882,49.40244,53.23149,66.22309,51.052807,39.725227,3.0
-332.11722,49.93171,12.533381,35.4237,53.563328,59.71845,56.74954,37.88233,63.35507,58.72332,58.76741,59.269863,63.77291,78.04374,42.26763,50.523422,71.9182,33.162296,54.012257,41.29473,49.683273,55.881973,25.728477,37.4926,32.316402,47.0353,41.298126,68.921104,42.37193,71.409966,44.84003,53.333385,50.43104,50.076073,35.804356,54.126793,54.743168,52.91259,57.720097,39.66379,46.202034,41.64009,28.572691,54.53818,41.966885,48.957607,78.12891,52.81828,51.277992,63.39188,65.552734,72.65338,43.395752,72.44084,48.28535,35.41521,38.28956,63.816776,59.488934,66.006065,38.37813,45.672993,34.92026,25.170938,49.70531,69.76823,63.86992,40.19095,64.56405,42.702724,53.843525,60.29668,44.82328,38.84421,58.07355,47.710754,43.01534,57.881584,47.2374,54.730312,37.829365,59.006218,38.06679,45.098183,26.473743,64.45764,51.105232,55.73178,28.593103,51.85612,44.9888,64.93455,30.247993,54.35423,63.16166,34.987907,51.2994,36.34121,50.47297,54.107143,66.437546,52.03934,41.288277,0.0
-388.9145,48.725758,16.852781,29.217829,53.60895,61.885323,57.893227,32.52379,66.77523,60.547237,60.60652,61.282135,67.33708,86.526085,38.4204,49.5214,78.28949,26.177078,54.212593,37.11221,48.39171,56.726673,16.18133,31.99974,25.039663,44.831158,37.11677,74.25951,38.560642,77.60611,41.87933,53.299763,49.39718,48.919876,29.729675,54.366604,55.1954,52.733948,59.198273,34.919193,43.710724,37.576588,20.00575,54.91977,38.016006,47.41595,86.6406,52.607132,50.536015,66.82473,69.730286,79.278046,39.937305,78.992256,46.512016,29.206417,33.071358,67.39606,61.576706,70.33985,33.190453,42.999355,28.540895,15.431646,48.42134,75.39857,67.46752,35.628025,68.40087,39.005444,53.98571,62.662827,41.856808,33.817158,59.67354,45.739395,39.42579,59.415413,45.102905,55.178112,32.452564,60.92763,32.771816,42.22645,17.183437,68.25779,50.30372,56.524723,20.033197,51.313385,42.07937,68.89905,22.258413,54.672424,66.51517,28.631851,50.5648,30.451548,49.453556,54.34018,70.92003,51.55975,37.103527,1.0
-325.52725,50.31241,15.024201,32.921146,54.665756,62.044117,58.485176,35.8684,66.40346,60.85122,60.904068,61.50638,66.90434,84.01128,41.12521,51.021717,76.66838,30.21033,55.203903,39.958965,50.0146,57.445194,21.29915,35.401215,29.196327,46.84038,39.963028,73.07566,41.250237,76.05915,44.208836,54.390118,50.910973,50.485462,33.377457,55.3412,56.08007,53.885696,59.64862,38.0039,45.84152,40.372955,24.708609,55.834347,40.764694,49.14472,84.11337,53.77264,51.926247,66.447586,69.03788,77.549675,42.477528,77.29489,48.33886,32.910976,36.356556,66.956924,61.768986,69.58131,36.46273,45.207333,32.317665,20.63081,50.041016,74.091125,67.02063,38.63582,67.85271,41.646774,55.001637,62.73726,44.18876,37.021435,60.07232,47.650074,42.021515,59.842197,47.082645,56.06466,35.804905,61.19034,36.089516,44.51829,22.192526,67.72515,51.71915,57.26516,24.733078,52.619267,44.38717,68.29683,26.71685,55.61384,66.17161,32.39875,51.951904,34.021004,50.961235,55.317646,70.098526,52.8389,39.951225,2.0
-341.20953,50.67582,11.079224,37.85107,53.88609,59.327076,56.702625,40.02445,62.541767,58.447407,58.486378,58.930534,62.91113,75.526215,43.90095,51.198883,70.11138,35.852043,54.282932,43.04093,50.45621,55.93572,29.280716,39.67993,35.104294,48.115463,43.04393,67.46201,43.99315,69.66212,46.174896,53.682827,51.117218,50.803436,38.187565,54.384182,54.929043,53.310852,57.56058,41.599216,47.378876,43.34622,31.794937,54.747837,43.635098,49.81474,75.6015,53.22748,51.865906,62.574306,64.48445,70.76126,44.898182,70.57339,49.220478,37.843567,40.384426,62.949905,59.124187,64.88519,40.462723,46.911213,37.406044,28.787865,50.475693,68.210846,62.996883,42.065212,63.61048,44.285564,54.133778,59.83822,46.160088,40.874725,57.873024,48.712547,44.56191,57.703327,48.294113,54.917675,39.977623,58.69748,40.187504,46.403095,29.939514,63.516415,51.71319,55.802956,31.81298,52.376957,46.306404,63.93799,33.275864,54.58523,62.370796,37.46584,51.884827,38.662132,51.154285,54.36681,65.2666,52.53892,43.035225,3.0
