mu,sigma,discrepency
45.92340850830078,11.031845092773438,70.88683888199466
52.745479583740234,17.957279205322266,43.46981615203754
58.42266845703125,14.927597999572754,61.36102395400305
49.25674057006836,14.640363693237305,33.8552190978255
46.46903991699219,8.07133960723877,81.67352557100568
49.27490234375,14.886520385742188,34.45564741335909
57.25846862792969,13.173018455505371,47.56500568354443
51.838897705078125,7.262900352478027,61.21384155585306
53.81082534790039,6.994460105895996,64.0377706579605
54.14551544189453,18.70418357849121,53.78575780817755
52.66208267211914,13.191327095031738,3.351912490772046
48.69765090942383,17.57727813720703,53.81131493441357
48.14557647705078,9.858406066894531,57.181231331450405
54.27973556518555,10.818550109863281,30.962840646155442
53.266845703125,12.041816711425781,15.839775054994158
57.598236083984375,14.207744598388672,51.712898028053125
49.76641845703125,9.660533905029297,47.10977756127292
50.56660461425781,10.94741439819336,32.042714134884726
52.21649932861328,18.073467254638672,44.41045150971477
54.68935012817383,5.7727508544921875,77.36294552550842
56.10121154785156,15.172222137451172,40.08877405194815
47.595340728759766,19.637516021728516,75.69354889869638
53.342376708984375,12.223742485046387,14.71159965851225
51.57398223876953,9.527416229248047,40.04462787832602
57.512672424316406,5.0518388748168945,94.46417433635882
46.34393310546875,7.37023401260376,87.32875117897035
56.52918243408203,10.330245018005371,49.734791713316866
46.152645111083984,14.337539672851562,63.67277807469057
53.710899353027344,7.565932273864746,58.43784779238705
48.53350830078125,10.766674041748047,48.598664893086365
57.45758819580078,18.458965301513672,70.48309799894841
59.74408721923828,17.846141815185547,85.27958716272482
59.38130187988281,18.921525955200195,88.2969985724727
48.14861297607422,12.687904357910156,44.52949490080139
48.962425231933594,10.0051851272583,49.99304564499462
46.57883834838867,12.06783676147461,61.358081502341015
50.65730285644531,19.80120849609375,63.228655811151555
49.08060836791992,8.43771743774414,61.00090281767412
54.549800872802734,15.849475860595703,31.27635210852841
56.807621002197266,9.90489387512207,54.37270853182057
55.08949279785156,5.701448440551758,79.09196771303866
52.50700378417969,9.746679306030273,36.46160132167662
58.57145309448242,16.549823760986328,68.60432839269585
46.3453483581543,6.388044834136963,94.33211411525232
48.94612503051758,14.762754440307617,37.13485936754671
52.38786697387695,7.131831169128418,61.92262220874132
45.785404205322266,19.08980369567871,84.67072194411648
47.557552337646484,11.98092269897461,52.137442806892615
47.93911361694336,16.48872947692871,53.08908835253392
53.88909912109375,11.98060417175293,19.865177375161537
48.03038787841797,10.237088203430176,55.81008634941239
53.48643112182617,10.401191711425781,31.307287101067054
48.14875030517578,19.17792510986328,68.89295139186137
59.963836669921875,7.920562744140625,90.49254231539554
48.71457290649414,16.765193939208984,48.41687329985761
47.01700973510742,8.055694580078125,77.67545752127607
47.928958892822266,9.295441627502441,62.496376478411236
51.08660125732422,17.2673282623291,38.70936468907952
57.9657096862793,6.724278450012207,83.88027998635674
48.955047607421875,7.277213096618652,71.28240478293593
52.75186538696289,16.44314193725586,28.803078141183803
58.92875289916992,18.92220687866211,84.71056402097506
52.01513671875,15.907246589660645,23.69561177755576
47.817626953125,12.711248397827148,47.74494616019686
45.1899528503418,19.661104202270508,92.629162860696
47.07338333129883,7.2142486572265625,83.28462770123653
49.67990493774414,10.908407211303711,38.54109919931809
52.00679016113281,14.96457290649414,14.873647580660867
49.7546272277832,17.665298461914062,47.993086626346994
54.93500900268555,11.20279598236084,32.37283581510903
48.45512771606445,8.938253402709961,61.172658910500516
46.99294662475586,13.586518287658691,55.04367858431604
53.64945602416992,17.99382972717285,45.58408648143212
57.943756103515625,15.086097717285156,57.16017529821123
54.68043899536133,17.77389907836914,47.65658913966046
46.92254638671875,18.74100112915039,74.01766938678291
53.848724365234375,8.721051216125488,47.832522360250344
59.3230094909668,9.452375411987305,77.39076881379657
55.176090240478516,16.460521697998047,40.05400546805037
48.704898834228516,8.423986434936523,63.40607315573812
47.86693572998047,5.78135347366333,89.6925188790788
49.535133361816406,12.355902671813965,32.07292809999425
59.446922302246094,10.596378326416016,73.93669723800397
47.071800231933594,14.68341064453125,55.03929409462205
50.47357177734375,6.897165775299072,68.03295113675786
51.987892150878906,14.493902206420898,10.749394515614659
51.46746063232422,12.565670013427734,14.015265399948998
56.720787048339844,13.150972366333008,42.209889267844794
51.21063995361328,16.79761505126953,34.057638902091256
52.0287971496582,7.6258978843688965,57.4478868445007
57.302284240722656,19.32160186767578,75.63055483621288
58.118324279785156,13.992337226867676,56.574771854443895
55.92858123779297,14.197888374328613,35.21201230534625
54.63874435424805,5.550432205200195,79.31853379332854
53.51293182373047,15.911163330078125,25.886518671396768
50.80552291870117,6.963805198669434,66.36718405641008
46.86100769042969,16.814868927001953,63.82186985169001
45.325565338134766,18.560026168823242,85.35067704471744
51.42789077758789,10.083635330200195,35.28070984890617
50.377197265625,5.938703536987305,77.26812644869376
48.78062057495117,16.248493194580078,44.91970977574737
52.166053771972656,18.734731674194336,50.834010516913764
54.77073669433594,14.094442367553711,23.65070507902015
53.11216354370117,15.688987731933594,22.361604739450176
54.67173385620117,18.901140213012695,57.57843233590809
47.295284271240234,13.139869689941406,52.302584840414504
56.834083557128906,13.579401016235352,43.3782111895864
51.29857635498047,14.586910247802734,15.678178622406396
53.825531005859375,14.710710525512695,18.06641072307028
51.248165130615234,13.264426231384277,12.814621819350116
53.32938003540039,8.178385734558105,52.036549477941776
50.96059036254883,16.256845474243164,30.359392884171
48.12099838256836,14.307891845703125,44.18107027343004
57.022796630859375,11.885551452636719,47.280368773402486
55.192649841308594,11.990214347839355,30.148363307365127
50.54717254638672,14.562729835510254,21.725423481851244
54.33576583862305,15.358248710632324,26.251763258503974
50.24131774902344,13.214872360229492,22.864598458427036
55.680503845214844,10.787659645080566,40.491989142295346
