mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
52.498,0.098,52.313,52.682,0.002,0.001,3798.0,3776.0,1.0
13.498,0.103,13.309,13.696,0.002,0.001,3820.0,3853.0,1.0
