mu,sigma,trial_number,batch_id,score
52.48653367259589,13.836929633528662,10,19_7,0.07738000870280674
52.22313397509888,13.564909193925853,10,19_6,0.07738000870280674
52.37325281879645,14.096177401810724,10,19_5,0.07738000870280674
52.491532993392354,13.468955266946779,10,19_4,0.07738000870280674
52.496575532351414,13.526350139843418,10,19_3,0.07738000870280674
51.893331594765186,13.376650107093155,10,19_2,0.07738000870280674
52.709062613524694,13.063949982103173,10,19_1,0.07738000870280674
52.50745945417296,13.497556687405812,10,19_0,0.07738000870280674
52.51945792252028,13.502388130166457,6,15_0,0.1968672251029132
49.69909005641883,10.38085326960543,6,15_7,0.1968672251029132
52.49239260979536,13.472736611003691,6,15_6,0.1968672251029132
57.23188302491954,11.337777514113597,6,15_5,0.1968672251029132
54.11302913179615,10.43300389898847,6,15_4,0.1968672251029132
49.90118040360255,16.49443803601565,6,15_3,0.1968672251029132
49.73234641374294,10.455872805660288,6,15_2,0.1968672251029132
53.31355117877418,10.078419646819594,6,15_1,0.1968672251029132
50.99679267997179,14.785066966063075,7,16_7,0.32091036524057526
52.4680457418688,13.497988641374675,7,16_0,0.32091036524057526
53.19948345727056,13.44694909881018,7,16_5,0.32091036524057526
52.476318726106136,13.53530510126186,7,16_6,0.32091036524057526
52.526308401831415,13.543528953635448,7,16_2,0.32091036524057526
52.49953875209799,13.460361223075735,7,16_3,0.32091036524057526
50.44826518278569,14.882219722494483,7,16_1,0.32091036524057526
52.5665157104388,13.508985411537495,7,16_4,0.32091036524057526
52.465054636625005,13.509575627394163,5,14_1,0.35804922017101193
52.69900264057219,13.50968024198662,5,14_2,0.35804922017101193
52.43672516920413,13.444308071312198,5,14_3,0.35804922017101193
53.162278316746765,13.154903309347253,5,14_4,0.35804922017101193
52.54737725543366,13.559251580390754,5,14_5,0.35804922017101193
52.60279999016241,13.479302473527191,5,14_6,0.35804922017101193
52.67413100726483,13.593652992557042,5,14_7,0.35804922017101193
52.62766095801253,13.541955638905797,5,14_0,0.35804922017101193
47.588721008703466,20.0,1,10_7,0.4250120405818549
51.9760374658379,12.659823027794452,1,10_6,0.4250120405818549
51.71657160212004,14.068178817961915,1,10_4,0.4250120405818549
53.18259293499495,14.52613887827226,1,10_5,0.4250120405818549
45.0,20.0,1,10_1,0.4250120405818549
60.0,5.0,1,10_2,0.4250120405818549
52.5382216250945,13.47924847054443,1,10_0,0.4250120405818549
53.29811364304534,12.742875030863157,1,10_3,0.4250120405818549
52.48626180777815,13.836720595133691,3,12_7,2.039157376439037
52.23065318040357,13.3412678463038,3,12_6,2.039157376439037
52.70102050235612,13.24237826899577,3,12_5,2.039157376439037
52.273468571451374,13.726724958478444,3,12_4,2.039157376439037
52.74370022155992,13.447014571724575,3,12_3,2.039157376439037
52.572677867128625,13.693171293753352,3,12_2,2.039157376439037
52.48231380670127,13.272516367668207,3,12_1,2.039157376439037
52.29210317174615,13.545988056573588,3,12_0,2.039157376439037
52.73552157916853,12.546782770841489,2,11_7,4.316577683542702
52.00850665961395,13.789792614444146,2,11_0,4.316577683542702
52.83653114080616,13.764877838658423,2,11_2,4.316577683542702
52.733999141215826,12.92157497258668,2,11_1,4.316577683542702
52.19345371429186,13.090542236147485,2,11_3,4.316577683542702
52.37083942872097,14.122149185309533,2,11_4,4.316577683542702
53.02272370660643,13.068073854892127,2,11_5,4.316577683542702
51.610893616234755,13.93504567695402,2,11_6,4.316577683542702
51.64389390927006,10.191596063389966,9,18_7,20.20581825485874
52.88974686207384,11.203431960124478,9,18_4,20.20581825485874
53.85743339053692,11.050924359934243,9,18_3,20.20581825485874
53.061726358496664,11.479160844584673,9,18_1,20.20581825485874
56.66608403239123,8.754512800009127,9,18_6,20.20581825485874
53.407063821335356,11.311308492332692,9,18_5,20.20581825485874
52.30928017992912,11.365284548455904,9,18_0,20.20581825485874
56.60374745664373,8.775114564809758,9,18_2,20.20581825485874
47.35815417108603,14.304086299846327,8,17_4,20.710413108805664
54.400955803304406,14.272133705395461,8,17_7,20.710413108805664
55.0897446839935,13.399414997113654,8,17_5,20.710413108805664
56.110813090803774,15.537311116247,8,17_6,20.710413108805664
52.84957163907109,16.33323519428315,8,17_2,20.710413108805664
45.0,13.276774761507575,8,17_3,20.710413108805664
45.0,11.975852575673322,8,17_1,20.710413108805664
53.683507318149466,16.578204713288855,8,17_0,20.710413108805664
45.10652623843944,7.214962653497954,4,13_3,53.185472165029914
60.0,13.541865529387291,4,13_0,53.185472165029914
45.0,5.0,4,13_2,53.185472165029914
49.30784865957331,5.0,4,13_1,53.185472165029914
57.66875800756078,11.982301609386909,4,13_5,53.185472165029914
47.74622562947798,5.069392367313796,4,13_4,53.185472165029914
60.0,12.757170014962586,4,13_6,53.185472165029914
